n_races,brier_1st,brier_2nd,brier_3rd,log_loss_1st,log_loss_2nd,log_loss_3rd,top1_acc,top3_acc,week_start,month
948,0.594437,0.779954,0.802742,1.230098,1.628119,1.691939,0.5633,0.8555,2025-10-22,2025-10
420,0.627346,0.769992,0.802605,1.283205,1.589074,1.699727,0.5214,0.8643,2025-10-29,2025-10
936,0.599407,0.795416,0.80747,1.230061,1.660554,1.705745,0.5609,0.8739,2025-11-01,2025-11
834,0.606693,0.782735,0.807136,1.249872,1.62302,1.69743,0.5647,0.8537,2025-11-08,2025-11
925,0.543854,0.783303,0.810039,1.118133,1.624757,1.709287,0.6065,0.8951,2025-11-15,2025-11
918,0.590059,0.792255,0.809535,1.20339,1.655579,1.71407,0.5643,0.8736,2025-11-22,2025-11
288,0.547103,0.787169,0.811138,1.157801,1.646991,1.718396,0.6007,0.8611,2025-11-29,2025-11
513,0.617921,0.789227,0.807233,1.258224,1.646219,1.704588,0.5302,0.848,2025-12-01,2025-12
151,0.681304,0.790058,0.817707,1.36524,1.63036,1.742498,0.5033,0.8212,2026-02-22,2026-02
1001,0.563168,0.784405,0.809637,1.15929,1.630512,1.708139,0.6014,0.8781,2026-03-01,2026-03
1042,0.619866,0.802105,0.815152,1.266976,1.688755,1.729003,0.5355,0.8455,2026-03-08,2026-03
1077,0.590205,0.782389,0.805163,1.210943,1.625831,1.698332,0.571,0.8654,2026-03-15,2026-03
1007,0.568908,0.789292,0.799174,1.176193,1.643372,1.677329,0.576,0.8649,2026-03-22,2026-03
876,0.580548,0.790431,0.811809,1.203289,1.657396,1.716458,0.5731,0.8664,2026-04-01,2026-04
802,0.599001,0.783594,0.809844,1.223752,1.63596,1.71503,0.5436,0.8666,2026-04-08,2026-04
1070,0.569652,0.785619,0.809879,1.169877,1.644201,1.713288,0.5841,0.8748,2026-04-15,2026-04
1171,0.595364,0.794512,0.815346,1.20972,1.663591,1.73033,0.544,0.8676,2026-04-22,2026-04
336,0.540524,0.78342,0.807375,1.127525,1.627611,1.706413,0.6071,0.8571,2026-04-29,2026-04
1220,0.581377,0.777265,0.808005,1.173155,1.614325,1.707188,0.5631,0.8836,2026-05-01,2026-05
408,0.543608,0.781783,0.806604,1.110966,1.624041,1.70065,0.6029,0.8897,2026-05-08,2026-05
